,author_average_rating,author_gender,author_name,book_average_rating,book_title,genre_1,pages,publish_date,score
0,4.01,female,"Victoria Thompson
",4.02,"
      Murder on St. Mark's Place
",Thriller,277,2000,3230
1,4.15,male,"Stieg Larsson
",4.13,"
      The Girl with the Dragon Tattoo
",Uncategorized,465,2005,3062
2,4.0,female,"Mimi Jean Pamfiloff
",3.99,"
      Tailored for Trouble
",Romance,354,2016,4585
4,4.1,female,"Patricia C. Wrede
",4.01,"
      Sorcery & Cecelia: or The Enchanted Chocolate Pot
",Fantasy,326,1988,2105
6,4.16,female,"Jillian Dodd
",3.95,"
      Stalk Me
",Young,327,2012,2396
8,3.78,female,"Nancy Baker
",3.77,"
      Kiss of the Vampire
",Horror,278,1993,1311
9,4.08,female,"Simone Elkeles
",4.01,"
      Leaving Paradise
",Young,303,2007,1994
10,4.39,male,"Brandon Sanderson
",4.28,"
      Firefight
",Fantasy,416,2015,4347
11,3.97,male,"K.L. Armstrong
",3.84,"
      Loki's Wolves
",Fantasy,358,2013,7818
12,4.03,female,"Lisa Kleypas
",4.25,"
      Devil in Winter
",Romance,368,2006,7874
14,3.99,male,"Aldous Huxley
",3.86,"
      Island
",Uncategorized,354,1962,8460
15,4.17,male,"Sandrine Gasq-Dion
",4.32,"
      Dirty Ross
",Romance,284,2014,2246
16,3.81,male,"Jamie Fessenden
",3.78,"
      Screwups
",Romance,204,2014,2323
19,4.15,female,"Rhys Ford
",4.25,"
      Tequila Mockingbird
",Romance,250,2014,2383
20,3.93,female,"Megan Derr
",3.87,"
      Of Last Resort
",Fantasy,235,2013,2388
21,3.82,male,"Sam B. Morgan
",3.83,"
      Slow Burn
",Romance,197,2014,2428
23,3.89,male,"Kate Sherwood
",4.01,"
      Mark of Cain
",Romance,338,2014,2459
24,3.79,male,"Piper Vaughn
",3.68,"
      Wood, Screws, & Nails
",Romance,166,2014,2672
25,3.72,male,"Nick Pageant
",3.73,"
      Beauty And The Bookworm
",Romance,107,2014,2724
26,3.78,female,"K.A. Mitchell
",3.55,"
      Bad Influence
",Romance,295,2014,2807
27,4.11,male,"Sarina Bowen
",4.17,"
      The Understatement of the Year
",Romance,300,2014,2834
29,3.81,female,"L.A. Witt
",3.9,"
      Payoff
",Romance,47,2014,2885
30,4.03,female,"Amy Rae Durreson
",4.04,"
      Reawakening
",Fantasy,260,2014,2906
31,3.93,female,"K.C. Wells
",4.0,"
      Personal Secrets
",Romance,285,2014,2961
32,4.04,female,"Indra Vaughn
",3.83,"
      The House on Hancock Hill
",Romance,220,2014,2995
33,3.93,male,"Rob Colton
",3.99,"
      Timber Pack Chronicles
",Romance,252,2011,3126
34,4.15,male,"K.J. Charles
",4.09,"
      Remnant: A Caldwell & Feximal/Whyborne & Griffin Mystery
",Romance,51,2014,3145
35,4.06,female,"Leta Blake
",3.91,"
      The River Leith
",Romance,173,2014,3172
36,3.93,male,"Perie Wolford
",3.86,"
      Turning 16
",Romance,163,2014,3198
37,3.98,female,"Heidi Cullinan
",3.83,"
      Tough Love
",Romance,312,2014,3326
38,3.96,male,"Veronica Sloane
",3.99,"
      Stories Beneath Our Skin
",Romance,210,2014,3343
39,4.03,female,"Amy Lane
",4.47,"
      Beneath the Stain
",Romance,350,2014,3385
40,4.04,male,"Josh Lanyon
",4.16,"
      Fair Play
",Romance,199,2014,3468
42,3.83,female,"Tara Lain
",3.86,"
      Wolf in Gucci Loafers
",Romance,235,2014,3495
43,4.21,male,"Jordan L. Hawk
",4.45,"
      Bloodline
",Romance,244,2014,3557
44,4.14,male,"Nicola Haken
",3.85,"
      Being Sawyer Knight
",Romance,316,2014,3561
45,4.22,male,"Alexa Land
",4.16,"
      Salvation
",Romance,284,2014,3609
46,4.18,female,"Charlie Cochet
",4.38,"
      Rack & Ruin
",Romance,206,2014,3620
47,4.03,female,"Mary Calmes
",3.84,"
      Control
",Romance,220,2014,3686
48,3.94,male,"Diane  Adams
",4.05,"
      Last First Kiss
",Romance,275,2014,3753
49,4.23,female,"Jaime Reese
",4.19,"
      A Hunted Man
",Romance,379,2014,3822
50,3.99,female,"Keira Andrews
",4.19,"
      A Forbidden Rumspringa
",Romance,231,2014,3949
51,3.8,male,"Jay Northcote
",3.76,"
      Not Just Friends
",Romance,200,2014,4000
52,3.99,female,"Lane Hayes
",3.99,"
      Better Than Chance
",Romance,200,2014,4065
53,4.01,female,"Renae Kaye
",4.23,"
      The Shearing Gun
",Romance,214,2014,4195
56,4.19,female,"N.R. Walker
",4.39,"
      Red Dirt Heart 2
",Romance,352,2014,4459
57,4.05,female,"S.E. Harmon
",3.91,"
      Stay with Me
",Romance,290,2014,4496
58,4.18,female,"A.E. Via
",3.94,"
      Nothing Special
",Romance,255,2014,4510
61,4.28,female,"Nicole Edwards
",4.46,"
      Ethan
",Romance,688,2014,5280
62,4.18,male,"A.J.  Rose
",4.31,"
      Queers
",Romance,423,2014,5349
64,3.75,female,"J.L. Merrow
",3.97,"
      Relief Valve
",Romance,357,2014,5553
65,3.98,female,"Eli Easton
",4.15,"
      The Mating of Michael
",Romance,240,2014,5704
66,3.97,male,"Anyta Sunday
",4.21,"
      rock
",Romance,251,2014,5669
67,3.75,female,"Amelia C. Gormley
",3.88,"
      Strain
",Romance,375,2014,6073
68,3.9,male,"Lisa Henry
",3.97,"
      When All the World Sleeps
",Romance,340,2014,6239
69,3.87,male,"Kade Boehme
",3.78,"
      Trouble & the Wallflower
",Romance,200,2014,6595
70,4.0,female,"Joanna Chambers
",4.34,"
      Enlightened
",Historical,184,2014,6842
71,4.08,male,"Nick Wilgus
",3.89,"
      Shaking the Sugar Tree
",Romance,304,2014,7241
73,4.14,male,"Kindle Alexander
",4.28,"
      Full Disclosure
",Romance,350,2014,10513
74,4.4,male,"T.J. Klune
",4.43,"
      The Art of Breathing
",Romance,350,2014,10532
75,4.22,male,"Ella Frank
",4.45,"
      Take
",Romance,346,2014,15172
76,4.26,female,"Abigail Roux
",4.11,"
      Ball & Chain
",Romance,288,2014,16237
79,3.93,male,"Eoin Colfer
",3.85,"
      The Supernaturalist
",Fantasy,267,2004,9507
87,4.03,male,"Stephen King
",3.65,"
      Cell
",Horror,449,2006,12874
89,4.02,male,"Jasper Fforde
",4.14,"
      Shades of Grey
",Fantasy,400,2009,13447
93,3.84,male,"Richard Bachman
",3.86,"
      The Running Man
",Horror,317,1982,15620
96,4.1,male,"Robert R. McCammon
",4.28,"
      Swan Song
",Horror,956,1987,16488
107,3.89,male,"Franz Kafka
",3.99,"
      The Trial
",Classics,255,1925,28474
110,3.75,female,"Ayn Rand
",3.68,"
      Atlas Shrugged
",Uncategorized,1168,1957,32573
116,4.06,male,"Kiera Cass
",4.14,"
      The Selection
",Young,336,2012,48069
119,4.24,male,"Marissa Meyer
",4.15,"
      Cinder
",Young,400,by,58511
