,author_average_rating,author_gender,author_name,author_rating_count,book_average_rating,book_title,genre_1,num_ratings,pages,publish_date,score
8,3.78,female,"Nancy Baker
",1019,3.77,"
      Kiss of the Vampire
",Horror,594,278,1993,1311
14,3.99,male,"Aldous Huxley
",1473109,3.86,"
      Island
",Classics,19914,354,1962,8460
107,3.89,male,"Franz Kafka
",949986,3.99,"
      The Trial
",Classics,190319,255,1925,28474
110,3.75,female,"Ayn Rand
",787974,3.68,"
      Atlas Shrugged
",Classics,324357,1168,1957,32573
127,3.91,female,"Cornelia Funke
",704947,3.96,"
      Dragon Rider
",Fantasy,73386,527,1997,15248
129,4.13,female,"Daphne du Maurier
",496484,4.22,"
      Rebecca
",Classics,376064,449,1938,15851
133,4.11,female,"Jane Austen
",5182376,4.55,"
      The Complete Novels
",Romance,23605,1344,1813,19609
136,4.04,female,"Louisa May Alcott
",1670460,4.05,"
      Little Women
",Classics,1454495,449,1868,22491
139,4.25,female,"Betty  Smith
",347400,4.25,"
      A Tree Grows in Brooklyn
",Classics,338396,496,1943,23554
140,4.03,female,"Sylvia Plath
",624685,3.99,"
      The Bell Jar
",Classics,500687,294,1963,29714
143,3.72,male,"Bernhard Schlink
",164599,3.74,"
      The Reader
",Historical,154045,216,1995,32634
149,4.32,male,"J.R.R. Tolkien
",7178020,4.52,"
      The Return of the King
",Fantasy,573454,490,1955,40399
164,3.71,male,"Helen Fielding
",996672,3.76,"
      Bridget Jones's Diary
",Romance,820731,288,1995,9751
176,4.29,male,"J.D. Robb
",1386126,4.12,"
      Naked in Death
",Thriller,144998,306,1995,12331
186,4.1,male,"Arthur Golden
",1544980,4.1,"
      Memoirs of a Geisha
",Historical,1544331,503,1997,28285
189,4.07,male,"Nicholas Sparks
",4935487,4.16,"
      A Walk to Remember
",Romance,591985,215,1999,45393
191,4.29,female,"Margaret Mitchell
",995196,4.29,"
      Gone with the Wind
",Classics,979786,1037,1936,62047
324,4.14,male,"C.S. Lewis
",5027964,4.03,"
      The Magician's Nephew
",Fantasy,344336,221,1955,3109
339,3.92,female,"Gail Carson Levine
",600783,3.98,"
      Ella Enchanted
",Fantasy,363754,232,1997,15799
344,4.05,male,"Theodore Sturgeon
",74359,3.89,"
      Some of Your Blood
",Horror,1180,192,1961,1409
348,3.99,female,"Laurell K. Hamilton
",1545913,4.16,"
      Circus of the Damned
",Fantasy,83819,320,1995,1509
349,3.81,male,"Fred Saberhagen
",62068,3.77,"
      The Dracula Tape
",Horror,1627,288,1975,1606
353,3.89,female,"Tanith Lee
",156584,3.73,"
      Dark Dance
",Horror,929,409,1992,1751
370,4.07,male,"Dan Simmons
",508361,3.71,"
      Children of the Night
",Horror,6042,464,1992,3225
378,3.84,female,"Jeanne Kalogridis
",37951,3.82,"
      Covenant with the Vampire
",Horror,5664,384,1994,3997
386,3.94,male,"Kim Newman
",62358,3.79,"
      Anno Dracula
",Horror,11099,381,1992,7579
398,3.91,male,"Poppy Z. Brite
",84839,3.9,"
      Lost Souls
",Horror,15616,355,1992,14597
403,3.84,male,"J. Sheridan Le Fanu
",62535,3.84,"
      Carmilla
",Horror,31513,108,1872,20432
407,3.98,male,"Bram Stoker
",842758,3.99,"
      Dracula
",Classics,790797,488,1897,84252
570,4.07,male,"Peter S. Beagle
",156712,4.18,"
      The Last Unicorn
",Fantasy,87038,294,1968,2538
574,4.23,male,"Tamora Pierce
",1221722,4.01,"
      Sandry's Book
",Fantasy,35046,252,1997,2716
579,4.05,male,"T.A. Barron
",73106,3.98,"
      The Lost Years of Merlin
",Fantasy,17116,304,1996,3345
580,3.86,male,"Natalie Babbitt
",208837,3.87,"
      Tuck Everlasting
",Fantasy,199810,139,1975,3718
581,4.03,male,"T.H. White
",130619,3.91,"
      The Sword in the Stone
",Fantasy,21490,352,1938,3858
586,3.96,male,"Lemony Snicket
",1763227,3.92,"
      The Bad Beginning
",Young,337209,176,1999,5113
591,4.1,male,"Megan Whalen Turner
",143711,3.9,"
      The Thief
",Fantasy,54217,280,1996,6241
599,4.21,male,"Michael Ende
",197895,4.18,"
      The Neverending Story
",Fantasy,138246,396,1979,10762
600,4.06,male,"Lloyd Alexander
",341762,4.0,"
      The Book of Three
",Fantasy,64260,190,1964,11260
604,4.25,male,"William Goldman
",728964,4.26,"
      The Princess Bride
",Fantasy,695641,398,1973,15196
